patent_id,company_id
D0973998,33
D0973999,75
D0974000,54
D0974001,31
D0974002,76
D0974003,25
D0974004,4
D0974005,74
D0974006,24
D0974007,8
D0974008,78
D0974009,79
D0974010,46
D0974011,4
D0974012,50
D0974013,66
D0974014,50
D0974015,50
D0974016,50
D0974017,50
D0974018,50
D0974019,50
D0974020,50
D0974021,50
D0974022,50
D0974023,15
D0974024,32
D0974024,41
D0974025,28
D0974026,70
D0974027,12
D0974028,16
D0974029,58
D0974030,38
D0974031,9
D0974032,20
D0974033,90
D0974034,83
D0974035,27
D0974036,51
D0974037,43
D0974038,44
D0974039,61
D0974040,56
D0974041,40
D0974042,19
D0974043,18
D0974044,82
D0974045,59
D0974046,69
D0974047,77
D0974048,35
D0974049,36
D0974050,23
D0974051,62
D0974052,84
D0974053,34
D0974054,62
D0974055,88
D0974056,49
D0974057,21
D0974058,71
D0974059,37
D0974060,87
D0974061,89
D0974062,5
D0974063,55
D0974064,48
D0974065,10
D0974066,3
D0974067,48
D0974068,48
D0974069,60
D0974070,72
D0974071,26
D0974072,39
D0974073,29
D0974074,11
D0974075,67
D0974076,65
D0974077,68
D0974078,14
D0974079,73
D0974080,7
D0974081,22
D0974081,86
D0974082,22
D0974082,86
D0974083,85
D0974084,45
D0974085,30
D0974086,52
D0974087,13
D0974088,63
D0974089,6
D0974089,64
D0974090,1
D0974091,17
D0974092,81
D0974093,53
D0974094,47
D0974095,42
D0974095,57
D0974096,80
D0974097,2
